Año,Mes,Año pago,Sistema,ZONA,RUTAS,VIAJES VALIDADOS,TOTAL,EMPRESA,
2023,1,2023,MI TRANSPORTE,AMG,C-107,62542,"$31,271.00",MOVILIDAD Y DIGNIDAD SA DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C01,328060,"$164,030.00",ALIANZA OBLATOS COLONIAS SA DE CV,
2023,1,2023,MI TRANSPORTE,CIUDAD GUZMAN,C01-CDG,40982,"$20,491.00",CAZEV SA DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C02,274578,"$137,289.00",PASAJEROS DE OBLATOS SA DE CV,
2023,1,2023,MI TRANSPORTE,CIUDAD GUZMAN,C02-CDG,24127,"$12,063.50",CAZEV SA DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C03,348120,"$174,060.00",OPERADORA ALIANZA MEXICALTZINGO,
2023,1,2023,MI TRANSPORTE,CIUDAD GUZMAN,C03-CDG,46319,"$23,159.50",CAZEV SA DE CV,
2023,1,2023,MI TRANSPORTE,CIUDAD GUZMAN,C04-CDG,42842,"$21,421.00",CAZEV SA DE CV,
2023,1,2023,MI TRANSPORTE,TEPATITLAN,C04-TEP,9408,"$4,704.00",TEPABUS SA DE CV,
2023,1,2023,MI TRANSPORTE,CIUDAD GUZMAN,C05-CDG,28711,"$14,355.50",CAZEV SA DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C06-1,141851,"$70,925.50",RUTA 136A CENTRO SAN PEDRITO S DE RL DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C09,347720,"$173,860.00",ALIANZA DE TRANSPORTISTAS DE NORTE Y SUR SA DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C10,144872,"$72,436.00",EXCELENCIA EN TRANSPORTACION NORTE Y SUR SA DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C103,0,$0.00,SERVICIOS COORDINADOS TLAJOMULCO TIMOS SA DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C104,505216,"$252,608.00",RUTA 629 TRANSPORTES PUBLICO COORDINADO SA DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C105,297723,"$148,861.50",TRANSPORTES ROGAN PLUS SA DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C106,73630,"$36,815.00",TRANSPORTES ROGAN PLUS SA DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C108,359682,"$179,841.00",VANGUARDIA Y CAMBIO SA DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C111,159516,"$79,758.00",RUTA COMPLEMENTARIA C111 SAPI DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C111-2,150716,"$75,358.00",RUTA COMPLEMENTARIA C111 2 SAPI DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C111-V3,141959,"$70,979.50",TRONCAL 13 SOLIDARIDAD SAPI DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C113,129649,"$64,824.50",TRANSPORJAL SA DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C114-V1,62911,"$31,455.50",TRANSPORTE PUBLICO ESTRUCTURADO SA DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C115,501075,"$250,537.50",RUTA 623 GDL SA DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C116,80783,"$40,391.50",TRANSPORTES TRUPEG S DE RL DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C119,161518,"$80,759.00",COORDINADORA DEL TRANSPORTE TAPATIOS S DE RL DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C12,198144,"$99,072.00",SANITAMAX SA DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C120,673550,"$336,775.00",R25 URBANOS SAPI DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C121A,369387,"$184,693.50",GRUPO TRANSPORTES UNIDOS ZMG SA DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C123V1,471046,"$235,523.00",OPERADORA ALIANZA CENTRO COLONIAS SA DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C124,53655,"$26,827.50",TRANSPORTE EN LINEA DE GUADALAJARA SA DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C125V2,519177,"$259,588.50",AUTOTRANSPORTES SANVER SA DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C129,163531,"$81,765.50",AUTOTRANSPORTES SANVER SA DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C135,77213,"$38,606.50",VANGUARDIA Y CAMBIO SA DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C136,95692,"$47,846.00",ECOBUSES TAPATIOS 2020 SA DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C14,287520,"$143,760.00",ALIANZA DE CONCESIONARIOS RUTA 175 A S DE RL DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C15,476009,"$238,004.50",TRANSPORTE URBANO DE JALISCO SA DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C16,58341,"$29,170.50",RUTAS MODERNAS 602 SA DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C17,247047,"$123,523.50",RUTA EMPRESA ALIANZA SA DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C18,141111,"$70,555.50",MILHER AUTOBUSES SA DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C21,124188,"$62,094.00",RUTA MODERNA 602 SA DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C23,139016,"$69,508.00",TRANSPORTE MODERNO DE JALISCO SAPI DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C24,130104,"$65,052.00",MOVILIDAD Y DIGNIDAD SA DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C27,0,$0.00,RUTA 605 TONALA SA DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C28,262156,"$131,078.00",RUTA 608 SA DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C29,585045,"$292,522.50",UNION DE TRANSPORTE COLECTIVO DE GUADALAJARA SA DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C30,483364,"$241,682.00",TRANSPORTES DE LA PLATA RUTA 611 S DE RL DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C31,64235,"$32,117.50",UNION DE TRANSPORTISTAS MEXICANOS R616 S DE RL DE CV,
2023,1,2023,MI TRANSPORTE,AMG,C32,0,$0.00,RUTA 639 ALAMEDAS SA DE CV,
